dateTime,windAngle,WAReference,windSpeed,WSUnits,status,checkSum
2020-08-12 00:11:24.599191,289.7,R,1.3,N,A,25
2020-08-12 00:11:28.130907,295.2,R,1.2,N,A,2C
2020-08-12 00:11:31.599809,290.6,R,1.6,N,A,29
2020-08-12 00:11:35.131485,290.3,R,1.5,N,A,2F
2020-08-12 00:11:38.599805,283.2,R,1.7,N,A,2E
2020-08-12 00:11:42.132743,297.8,R,1.6,N,A,20
2020-08-12 00:11:45.599797,296.2,R,1.5,N,A,28
2020-08-12 00:11:49.132848,293.4,R,2.0,N,A,2D
2020-08-12 00:11:52.599812,289.8,R,2.2,N,A,28
2020-08-12 00:11:56.133372,289.5,R,2.3,N,A,24
2020-08-12 00:11:59.601300,271.3,R,1.9,N,A,2C
2020-08-12 00:12:03.132850,264.8,R,2.0,N,A,29
2020-08-12 00:12:06.601042,278.7,R,1.7,N,A,2F
2020-08-12 00:12:10.133740,286.5,R,1.6,N,A,2D
2020-08-12 00:12:13.601632,283.2,R,1.4,N,A,2D
2020-08-12 00:12:17.134709,271.3,R,1.3,N,A,26
2020-08-12 00:12:20.601254,271.3,R,1.6,N,A,23
2020-08-12 00:12:23.602582,284.4,R,1.5,N,A,2D
2020-08-12 00:12:27.135251,287.0,R,1.6,N,A,29
2020-08-12 00:12:30.602318,285.4,R,1.7,N,A,2E
2020-08-12 00:12:34.135878,291.8,R,1.4,N,A,24
2020-08-12 00:12:37.603543,285.7,R,2.1,N,A,28
2020-08-12 00:12:41.135221,284.1,R,2.1,N,A,2F
2020-08-12 00:12:44.603549,285.0,R,1.9,N,A,24
2020-08-12 00:12:47.604725,282.4,R,2.2,N,A,2F
2020-08-12 00:12:51.136512,289.0,R,1.9,N,A,28
2020-08-12 00:12:54.604200,278.2,R,1.8,N,A,25
2020-08-12 00:12:58.137385,287.8,R,1.8,N,A,2F
2020-08-12 00:13:01.604864,287.8,R,1.7,N,A,20
2020-08-12 00:13:05.137747,292.2,R,1.3,N,A,2A
2020-08-12 00:13:08.605425,291.0,R,1.4,N,A,2C
2020-08-12 00:13:12.137380,271.3,R,1.7,N,A,22
2020-08-12 00:13:15.605073,271.3,R,1.4,N,A,21
2020-08-12 00:13:18.606373,278.9,R,1.8,N,A,2E
2020-08-12 00:13:22.138952,271.3,R,1.7,N,A,22
2020-08-12 00:13:25.606109,271.3,R,1.8,N,A,2D
2020-08-12 00:13:29.139665,282.7,R,1.6,N,A,2B
2020-08-12 00:13:32.607354,271.3,R,1.8,N,A,2D
2020-08-12 00:13:36.139670,284.6,R,1.4,N,A,2E
2020-08-12 00:13:39.606573,286.9,R,1.6,N,A,21
2020-08-12 00:13:43.139980,288.0,R,1.4,N,A,24
2020-08-12 00:13:46.601550,287.0,R,1.8,N,A,27
2020-08-12 00:13:49.608512,285.7,R,2.1,N,A,28
2020-08-12 00:13:53.134676,281.2,R,1.7,N,A,2C
