dateTime,temperature,relativeWindChillTemperature,TUnits,RWCTID,RWCTUnits,theoreticalWindChillTemperature,TUnits2,TWCTID,TWCTUnits,heatIndex,HIUnits,HIID,pressureUnits,barrometricPressureBars,BPBUnits,BPBID,checkSum
2020-08-12 00:30:20.111503,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:30:27.106497,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:30:30.111526,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:30:40.112205,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:30:47.112195,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9850,B,STNP,4F
2020-08-12 00:31:00.113048,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9850,B,STNP,4F
2020-08-12 00:31:03.114217,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:31:10.113956,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:31:20.109643,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:31:23.115315,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:31:30.110276,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:31:40.116461,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9850,B,STNP,4F
2020-08-12 00:31:50.111524,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9850,B,STNP,4F
2020-08-12 00:32:06.118013,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:32:16.113076,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:32:23.113936,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:32:30.114310,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:32:33.119220,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:32:46.115863,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:32:53.115568,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:32:56.120494,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9850,B,STNP,4F
2020-08-12 00:33:09.116590,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:33:12.122754,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
