dateTime,heading,HID,checkSum
2020-08-12 00:19:34.105241,150.3,T,2E
2020-08-12 00:19:37.574824,150.6,T,2B
2020-08-12 00:19:41.107141,150.5,T,28
2020-08-12 00:19:44.574161,150.1,T,2C
2020-08-12 00:19:48.106459,150.5,T,28
2020-08-12 00:19:51.574824,150.3,T,2E
2020-08-12 00:19:55.107105,150.1,T,2C
2020-08-12 00:19:58.575386,150.4,T,29
2020-08-12 00:20:02.107724,150.4,T,29
2020-08-12 00:20:05.576062,150.4,T,29
2020-08-12 00:20:09.109639,150.3,T,2E
2020-08-12 00:20:12.575412,150.9,T,24
2020-08-12 00:20:16.108960,150.3,T,2E
2020-08-12 00:20:19.576069,150.4,T,29
2020-08-12 00:20:23.108511,150.0,T,2D
2020-08-12 00:20:26.576649,150.5,T,28
2020-08-12 00:20:30.109124,150.2,T,2F
2020-08-12 00:20:33.577293,150.5,T,28
2020-08-12 00:20:37.109749,150.4,T,29
2020-08-12 00:20:40.577918,150.4,T,29
2020-08-12 00:20:44.110192,150.1,T,2C
2020-08-12 00:20:47.577245,150.4,T,29
2020-08-12 00:20:51.110951,150.3,T,2E
2020-08-12 00:20:54.579095,150.2,T,2F
2020-08-12 00:20:58.111612,150.4,T,29
2020-08-12 00:21:01.578518,150.2,T,2F
2020-08-12 00:21:05.112181,150.4,T,29
2020-08-12 00:21:08.579065,150.5,T,28
2020-08-12 00:21:12.111506,150.1,T,2C
2020-08-12 00:21:15.579832,150.2,T,2F
2020-08-12 00:21:19.112172,150.2,T,2F
2020-08-12 00:21:22.580302,150.5,T,28
2020-08-12 00:21:26.112730,150.4,T,29
2020-08-12 00:21:29.581085,150.4,T,29
2020-08-12 00:21:33.113391,150.4,T,29
2020-08-12 00:21:36.581583,150.1,T,2C
2020-08-12 00:21:40.114002,150.3,T,2E
2020-08-12 00:21:43.582355,150.4,T,29
2020-08-12 00:21:47.114680,150.0,T,2D
2020-08-12 00:21:50.581690,150.3,T,2E
2020-08-12 00:21:54.115220,150.3,T,2E
2020-08-12 00:21:57.582347,150.1,T,2C
2020-08-12 00:22:01.114631,150.1,T,2C
2020-08-12 00:22:04.582906,150.4,T,29
2020-08-12 00:22:08.115258,150.5,T,28
2020-08-12 00:22:11.583548,150.4,T,29
2020-08-12 00:22:15.116031,149.9,T,2C
2020-08-12 00:22:18.584129,149.8,T,2D
2020-08-12 00:22:22.116459,150.3,T,2E
2020-08-12 00:22:25.583536,150.4,T,29
2020-08-12 00:22:29.117256,150.8,T,25
2020-08-12 00:22:32.584149,150.3,T,2E
2020-08-12 00:22:36.117736,150.4,T,29
2020-08-12 00:22:39.586010,150.0,T,2D
2020-08-12 00:22:43.118493,150.4,T,29
2020-08-12 00:22:46.585404,150.2,T,2F
2020-08-12 00:22:50.119073,150.4,T,29
2020-08-12 00:22:53.586162,149.9,T,2C
2020-08-12 00:22:57.118434,150.3,T,2E
2020-08-12 00:23:00.586615,150.4,T,29
2020-08-12 00:23:04.119020,150.2,T,2F
2020-08-12 00:23:07.587342,150.1,T,2C
2020-08-12 00:23:11.119666,150.1,T,2C
2020-08-12 00:23:14.587807,150.2,T,2F
2020-08-12 00:23:18.120242,150.4,T,29
2020-08-12 00:23:21.587333,150.4,T,29
2020-08-12 00:23:25.120899,150.4,T,29
2020-08-12 00:23:28.587799,150.6,T,2B
2020-08-12 00:23:32.120236,150.7,T,2A
2020-08-12 00:23:35.588576,150.3,T,2E
2020-08-12 00:23:39.120891,150.3,T,2E
2020-08-12 00:23:42.589145,150.4,T,29
2020-08-12 00:23:46.121489,150.4,T,29
2020-08-12 00:23:49.589803,150.4,T,29
2020-08-12 00:23:53.121729,150.5,T,28
2020-08-12 00:23:56.127167,150.2,T,2F
2020-08-12 00:23:59.594083,150.7,T,2A
2020-08-12 00:24:03.127773,150.6,T,2B
2020-08-12 00:24:06.594903,150.5,T,28
2020-08-12 00:24:10.127192,150.7,T,2A
2020-08-12 00:24:13.590311,150.6,T,2B
2020-08-12 00:24:16.596065,150.6,T,2B
2020-08-12 00:24:20.128480,150.3,T,2E
2020-08-12 00:24:23.596653,150.2,T,2F
2020-08-12 00:24:27.128964,150.3,T,2E
2020-08-12 00:24:30.596004,150.4,T,29
2020-08-12 00:24:34.123440,150.3,T,2E
2020-08-12 00:24:37.129032,149.9,T,2C
2020-08-12 00:24:40.592318,150.4,T,29
2020-08-12 00:24:43.596607,150.4,T,29
2020-08-12 00:24:47.124031,150.5,T,28
2020-08-12 00:24:50.129357,150.5,T,28
2020-08-12 00:24:53.591885,150.5,T,28
2020-08-12 00:24:57.125216,150.1,T,2C
2020-08-12 00:25:00.593553,150.2,T,2F
2020-08-12 00:25:03.598571,150.4,T,29
2020-08-12 00:25:07.130888,150.5,T,28
2020-08-12 00:25:10.594148,150.6,T,2B
2020-08-12 00:25:13.599900,150.3,T,2E
2020-08-12 00:25:17.126542,150.2,T,2F
2020-08-12 00:25:20.598633,150.5,T,28
2020-08-12 00:25:24.127164,150.1,T,2C
2020-08-12 00:25:27.600337,150.4,T,29
2020-08-12 00:25:31.131523,150.4,T,29
2020-08-12 00:25:34.594829,150.5,T,28
2020-08-12 00:25:38.127775,150.7,T,2A
2020-08-12 00:25:41.133456,150.3,T,2E
2020-08-12 00:25:44.595353,150.2,T,2F
2020-08-12 00:25:47.601057,150.3,T,2E
2020-08-12 00:25:51.128973,150.4,T,29
2020-08-12 00:25:54.134297,150.1,T,2C
2020-08-12 00:25:57.596116,150.6,T,2B
2020-08-12 00:26:01.129285,150.3,T,2E
2020-08-12 00:26:04.134704,150.3,T,2E
2020-08-12 00:26:07.597264,150.4,T,29
2020-08-12 00:26:11.129718,150.3,T,2E
2020-08-12 00:26:14.135235,150.6,T,2B
2020-08-12 00:26:17.598150,150.3,T,2E
2020-08-12 00:26:21.130867,150.2,T,2F
2020-08-12 00:26:24.135261,150.3,T,2E
2020-08-12 00:26:27.603583,150.3,T,2E
2020-08-12 00:26:31.130908,150.4,T,29
2020-08-12 00:26:34.136541,150.6,T,2B
2020-08-12 00:26:37.604123,150.6,T,2B
2020-08-12 00:26:41.137191,150.2,T,2F
2020-08-12 00:26:44.604753,150.5,T,28
2020-08-12 00:26:48.137789,150.8,T,25
2020-08-12 00:26:51.605353,150.5,T,28
2020-08-12 00:26:55.138435,150.3,T,2E
2020-08-12 00:26:58.605957,150.4,T,29
2020-08-12 00:27:02.137802,150.5,T,28
2020-08-12 00:27:05.606633,150.4,T,29
2020-08-12 00:27:09.139004,150.4,T,29
2020-08-12 00:27:12.606577,150.3,T,2E
2020-08-12 00:27:16.138397,150.3,T,2E
2020-08-12 00:27:19.139716,150.5,T,28
2020-08-12 00:27:22.601604,149.8,T,2D
2020-08-12 00:27:25.607932,150.2,T,2F
2020-08-12 00:27:29.140231,150.6,T,2B
2020-08-12 00:27:32.608161,150.4,T,29
2020-08-12 00:27:36.140887,150.1,T,2C
2020-08-12 00:27:39.142173,150.3,T,2E
2020-08-12 00:27:42.603496,150.0,T,2D
2020-08-12 00:27:45.608516,150.4,T,29
2020-08-12 00:27:49.141705,150.5,T,28
2020-08-12 00:27:52.608523,150.1,T,2C
2020-08-12 00:27:56.141568,150.3,T,2E
2020-08-12 00:27:59.609365,150.4,T,29
2020-08-12 00:28:03.142246,150.4,T,29
2020-08-12 00:28:06.609767,150.4,T,29
2020-08-12 00:28:10.142806,150.2,T,2F
2020-08-12 00:28:13.610608,150.3,T,2E
2020-08-12 00:28:17.143444,150.5,T,28
2020-08-12 00:28:20.605342,150.6,T,2B
2020-08-12 00:28:23.611641,150.2,T,2F
2020-08-12 00:28:27.143075,150.3,T,2E
2020-08-12 00:28:30.611898,150.3,T,2E
2020-08-12 00:28:34.144738,150.4,T,29
2020-08-12 00:28:37.612280,150.4,T,29
2020-08-12 00:28:41.144727,150.6,T,2B
2020-08-12 00:28:44.612126,150.1,T,2C
2020-08-12 00:28:48.144714,150.1,T,2C
2020-08-12 00:28:51.612872,150.4,T,29
2020-08-12 00:28:55.145967,150.6,T,2B
2020-08-12 00:28:58.613499,150.5,T,28
2020-08-12 00:29:02.146550,150.3,T,2E
2020-08-12 00:29:05.614095,150.4,T,29
2020-08-12 00:29:09.145983,150.6,T,2B
2020-08-12 00:29:12.614144,150.5,T,28
2020-08-12 00:29:16.147044,150.5,T,28
2020-08-12 00:29:19.614733,150.3,T,2E
2020-08-12 00:29:23.147161,150.1,T,2C
2020-08-12 00:29:26.615335,150.6,T,2B
2020-08-12 00:29:30.147770,150.1,T,2C
2020-08-12 00:29:33.614838,150.6,T,2B
2020-08-12 00:29:37.148020,150.5,T,28
2020-08-12 00:29:40.616092,150.3,T,2E
2020-08-12 00:29:44.147761,150.0,T,2D
2020-08-12 00:29:47.616069,150.6,T,2B
2020-08-12 00:29:51.148987,150.1,T,2C
2020-08-12 00:29:54.616936,150.5,T,28
2020-08-12 00:29:58.148978,150.3,T,2E
2020-08-12 00:30:01.616925,150.3,T,2E
2020-08-12 00:30:05.148998,150.2,T,2F
2020-08-12 00:30:08.612322,150.1,T,2C
2020-08-12 00:30:12.144636,150.4,T,29
2020-08-12 00:30:15.618550,150.5,T,28
2020-08-12 00:30:19.150875,150.5,T,28
2020-08-12 00:30:22.612883,150.5,T,28
2020-08-12 00:30:25.619089,150.4,T,29
2020-08-12 00:30:29.145914,150.4,T,29
2020-08-12 00:30:32.151435,150.7,T,2A
2020-08-12 00:30:35.619370,150.6,T,2B
2020-08-12 00:30:39.146438,149.7,T,22
2020-08-12 00:30:42.152137,150.1,T,2C
2020-08-12 00:30:45.153423,150.5,T,28
2020-08-12 00:30:48.620336,150.7,T,2A
2020-08-12 00:30:52.152778,150.3,T,2E
2020-08-12 00:30:55.620978,150.5,T,28
2020-08-12 00:30:59.152756,150.6,T,2B
2020-08-12 00:31:02.153996,150.5,T,28
2020-08-12 00:31:05.621695,150.6,T,2B
2020-08-12 00:31:09.153449,150.4,T,29
2020-08-12 00:31:12.621632,150.3,T,2E
2020-08-12 00:31:16.153933,150.3,T,2E
2020-08-12 00:31:19.155236,150.4,T,29
2020-08-12 00:31:22.622326,150.1,T,2C
2020-08-12 00:31:26.150234,149.8,T,2D
2020-08-12 00:31:29.154684,150.7,T,2A
2020-08-12 00:31:32.617827,150.3,T,2E
2020-08-12 00:31:35.623137,150.2,T,2F
2020-08-12 00:31:39.155976,150.7,T,2A
2020-08-12 00:31:42.623525,150.0,T,2D
2020-08-12 00:31:46.155569,149.7,T,22
2020-08-12 00:31:49.618540,150.3,T,2E
2020-08-12 00:31:53.150965,150.1,T,2C
2020-08-12 00:31:56.156484,150.3,T,2E
2020-08-12 00:31:59.624798,150.8,T,25
2020-08-12 00:32:03.156731,150.0,T,2D
2020-08-12 00:32:06.158011,150.3,T,2E
2020-08-12 00:32:09.619886,150.2,T,2F
2020-08-12 00:32:12.625385,150.3,T,2E
2020-08-12 00:32:16.153081,150.4,T,29
2020-08-12 00:32:19.625604,150.3,T,2E
2020-08-12 00:32:23.152693,150.0,T,2D
2020-08-12 00:32:26.626873,150.2,T,2F
